iter	RMSE
0	1.459557566
1	1.445950364
2	1.428781242
3	1.410737311
4	1.389356283
5	1.369738543
6	1.349512145
7	1.333269484
8	1.314131975
9	1.297718571
10	1.284168337
11	1.265144902
12	1.247491846
13	1.234563613
14	1.222126759
15	1.206751348
16	1.190818475
17	1.177757723
18	1.164650408
19	1.149080151
20	1.137822119
21	1.125681656
22	1.11453283
23	1.102694561
24	1.089885116
25	1.08032423
26	1.067754365
27	1.052870892
28	1.040007929
29	1.030442784
30	1.017711693
31	1.005155926
32	0.993469286
33	0.9837123059
34	0.9761524993
35	0.9644087504
36	0.9541711168
37	0.9443739253
38	0.9334073765
39	0.9230383693
40	0.9120608991
41	0.9038333635
42	0.8951125588
43	0.8862853984
44	0.8780015035
45	0.8692478328
46	0.8610952867
47	0.8536078231
48	0.8437950698
49	0.83508652
50	0.827805905
51	0.8206084547
52	0.8131252603
53	0.806526032
54	0.8012627647
55	0.7911959152
56	0.7859874159
57	0.7779364296
58	0.7702507796
59	0.7632465994
60	0.7561625398
61	0.7501318386
62	0.7434914787
63	0.7374156321
64	0.7307078746
65	0.7257665643
66	0.721882087
67	0.7166240153
68	0.708941638
69	0.7046968436
70	0.6993701334
71	0.6940728035
72	0.690063277
73	0.6832100198
74	0.6781640914
75	0.6713895203
76	0.6667986298
77	0.6621106369
78	0.6587190645
79	0.6540627093
80	0.6493009677
81	0.6441940052
82	0.6397459082
83	0.6357973041
84	0.6300325483
85	0.6264681079
86	0.6233336765
87	0.6191638426
88	0.6146908448
89	0.6091038459
90	0.6042043188
91	0.6010587321
92	0.5971410263
93	0.5938854448
94	0.5894530511
95	0.5845995818
96	0.5795953171
97	0.5744407201
98	0.5699974909
99	0.5659753424
100	0.5618388055
101	0.5588803877
102	0.5552312113
103	0.5527932244
104	0.5491497903
105	0.5462739005
106	0.5425715642
107	0.538731749
108	0.5336734152
109	0.5282779834
110	0.5254278497
111	0.5215710116
112	0.5184009386
113	0.5141183175
114	0.510456372
115	0.5073030442
116	0.5037371662
117	0.5002914468
118	0.4966388463
119	0.4919729484
120	0.4886181537
121	0.4877006668
122	0.4843929659
123	0.4818261705
124	0.4801961888
125	0.4764258265
126	0.4732791812
127	0.4707714782
128	0.4677392878
129	0.4647751805
130	0.4619677443
131	0.4600718281
132	0.4573736057
133	0.4542413395
134	0.4521022665
135	0.4481407482
136	0.4462168114
137	0.4442264054
138	0.44203208
139	0.439068911
140	0.4376563982
141	0.4357107516
142	0.432816132
143	0.4307806785
144	0.4288076655
145	0.4269703145
146	0.4241293489
147	0.4227070162
148	0.4203739911
149	0.4178511417
150	0.4161546978
151	0.4128239208
152	0.4099974401
153	0.4079673861
154	0.4066045479
155	0.4043976311
156	0.4015617834
157	0.3997664853
158	0.3965774229
159	0.393171262
160	0.3905499058
161	0.3876726914
162	0.385425302
163	0.3834217102
164	0.3804586947
165	0.3779515195
166	0.3758390439
167	0.3737339781
168	0.3723431523
169	0.3708523111
170	0.3695423073
171	0.3678368799
172	0.3661251386
173	0.3648197938
174	0.3624748423
175	0.3605902479
176	0.3581981747
177	0.3562953607
178	0.3548934814
179	0.3536395642
180	0.3513089906
181	0.3492237955
182	0.3469775383
183	0.3452782955
184	0.3435706319
185	0.3410062838
186	0.3380493588
187	0.3356864234
188	0.3333628005
189	0.3311127978
190	0.3294016325
191	0.3280944187
192	0.3268615041
193	0.3251089291
194	0.3236695243
195	0.3213623972
196	0.3198632309
197	0.3181026455
198	0.315367744
199	0.3129085681
200	0.3113721629
201	0.3102639504
202	0.3082911346
203	0.3058605672
204	0.3035083604
205	0.3021365381
206	0.3000399441
207	0.2979296118
208	0.2964047097
209	0.2945968785
210	0.2926765245
211	0.2904204724
212	0.2882300716
213	0.2858063305
214	0.2839773732
215	0.2824626385
216	0.2799109689
217	0.2781449978
218	0.275684313
219	0.2733235768
220	0.2706794549
221	0.2682310954
222	0.2662737659
223	0.2643745752
224	0.2617772474
225	0.2602808724
226	0.2584390517
227	0.2565674438
228	0.2544254929
229	0.2524017181
230	0.2509970799
231	0.2496594517
232	0.248453111
233	0.2472311126
234	0.2452696366
235	0.2439755879
236	0.2425592029
237	0.2407861445
238	0.239613769
239	0.2380891973
240	0.2368105747
241	0.2352260405
242	0.2339647491
243	0.2326440227
244	0.2310421066
245	0.22937664
246	0.2280713682
247	0.2268649516
248	0.2252627788
249	0.2237274688
250	0.2221466814
251	0.2209186902
252	0.2194055393
253	0.217753843
254	0.2161466315
255	0.2144085746
256	0.2132945336
257	0.2123903317
258	0.2104413328
259	0.2087099758
260	0.206701203
261	0.2057845003
262	0.2042204771
263	0.2032189513
264	0.2016938195
265	0.2007764472
266	0.1991094463
267	0.1975745245
268	0.1961199509
269	0.1949767424
270	0.1938187435
271	0.1924928713
272	0.1909541666
273	0.1899861324
274	0.1888088743
275	0.187440266
276	0.1861779537
277	0.1852629763
278	0.1836091758
279	0.1824565305
280	0.1811262275
281	0.1800515497
282	0.1786594776
283	0.1776486365
284	0.1766250287
285	0.1752696686
286	0.1745640263
287	0.1733311741
288	0.1720611733
289	0.1714912741
