iter	Passed	Remaining
0	4	4051
1	7	3639
2	10	3470
3	16	4000
4	24	4905
5	39	6522
6	49	6955
7	60	7534
8	69	7692
9	76	7539
10	79	7141
11	83	6848
12	87	6607
13	90	6397
14	94	6233
15	98	6053
16	101	5884
17	104	5716
18	107	5573
19	110	5434
20	113	5311
21	117	5203
22	119	5096
23	123	5004
24	126	4927
25	129	4850
26	132	4787
27	135	4695
28	138	4646
29	142	4594
30	145	4550
31	148	4505
32	152	4459
33	155	4424
34	159	4389
35	162	4357
36	166	4322
37	169	4291
38	172	4258
39	176	4232
40	179	4197
41	182	4164
42	185	4135
43	188	4105
44	192	4075
45	195	4047
46	198	4015
47	201	3987
48	204	3963
49	207	3941
50	210	3924
51	214	3904
52	217	3889
53	221	3871
54	224	3856
55	227	3838
56	230	3816
57	233	3799
58	237	3788
59	241	3782
60	245	3775
61	248	3763
62	252	3755
63	256	3749
64	259	3735
65	263	3728
66	267	3721
67	270	3711
68	274	3701
69	277	3691
70	281	3682
71	284	3673
72	288	3663
73	291	3651
74	295	3644
75	298	3632
76	302	3621
77	305	3615
78	309	3608
79	313	3602
80	316	3596
81	320	3585
82	331	3666
83	334	3651
84	341	3670
85	347	3694
86	351	3685
87	354	3672
88	357	3661
89	361	3656
90	365	3647
91	368	3639
92	372	3631
93	375	3618
94	378	3606
95	382	3600
96	385	3588
97	388	3575
98	391	3562
99	394	3551
100	398	3543
101	401	3535
102	404	3524
103	408	3518
104	411	3506
105	414	3495
106	417	3484
107	420	3475
108	424	3466
109	427	3460
110	430	3450
111	433	3439
112	436	3426
113	439	3417
114	442	3405
115	445	3392
116	447	3380
117	450	3369
118	453	3358
119	456	3346
120	459	3335
121	462	3325
122	465	3315
123	467	3305
124	470	3296
125	473	3285
126	476	3274
127	479	3264
128	482	3255
129	484	3245
130	487	3235
131	490	3226
132	493	3216
133	496	3206
134	498	3197
135	502	3189
136	504	3180
137	507	3173
138	510	3164
139	513	3156
140	517	3150
141	520	3143
142	522	3134
143	525	3125
144	528	3116
145	531	3108
146	534	3100
147	537	3091
148	539	3083
149	542	3076
150	545	3067
151	548	3058
152	550	3049
153	553	3042
154	556	3036
155	560	3029
156	563	3023
157	566	3017
158	569	3010
159	572	3004
160	575	2997
161	578	2991
162	581	2984
163	584	2978
164	587	2971
165	590	2965
166	593	2959
167	596	2952
168	599	2945
169	601	2938
170	604	2932
171	607	2926
172	610	2919
173	613	2913
174	616	2906
175	619	2900
176	622	2893
177	625	2886
178	627	2879
179	630	2872
180	633	2867
181	636	2861
182	639	2854
183	642	2847
184	645	2841
185	648	2836
186	651	2830
187	653	2824
188	656	2818
189	659	2812
190	662	2806
191	665	2801
192	668	2795
193	671	2789
194	674	2783
195	676	2776
196	679	2770
197	682	2764
198	685	2758
199	687	2751
200	690	2745
201	693	2740
202	696	2734
203	699	2728
204	701	2721
205	704	2716
206	707	2711
207	710	2706
208	713	2701
209	716	2696
210	719	2691
211	722	2686
212	725	2682
213	728	2677
214	732	2672
215	735	2668
216	737	2662
217	740	2656
218	743	2650
219	746	2646
220	748	2640
221	751	2634
222	754	2629
223	757	2623
224	759	2617
225	762	2611
226	765	2606
227	768	2600
228	777	2616
229	780	2611
230	783	2607
231	786	2603
232	789	2598
233	792	2594
234	795	2589
235	798	2585
236	801	2580
237	804	2575
238	807	2571
239	810	2566
240	813	2561
241	816	2557
242	819	2552
243	822	2548
244	825	2543
245	828	2538
246	831	2534
247	834	2529
248	837	2525
249	840	2521
250	843	2516
251	846	2513
252	849	2508
253	852	2504
254	855	2500
255	858	2495
256	861	2491
257	864	2487
258	867	2482
259	870	2478
260	873	2474
261	877	2470
262	880	2466
263	883	2463
264	886	2458
265	889	2454
266	892	2450
267	895	2446
268	898	2442
269	901	2437
270	904	2432
271	907	2428
272	910	2424
273	913	2419
274	916	2415
275	919	2410
276	921	2406
277	924	2401
278	928	2398
279	931	2395
280	934	2391
281	937	2386
282	940	2382
283	943	2377
284	946	2373
285	948	2369
286	951	2364
287	954	2360
288	958	2357
289	961	2353
290	965	2351
291	969	2350
292	973	2349
293	976	2345
294	980	2342
295	983	2338
296	985	2333
297	988	2329
298	992	2325
299	995	2322
300	999	2320
301	1002	2316
302	1005	2312
303	1008	2309
304	1012	2306
305	1015	2302
306	1017	2297
307	1021	2294
308	1024	2290
309	1027	2286
310	1029	2281
311	1032	2277
312	1035	2272
313	1038	2268
314	1040	2263
315	1043	2259
316	1046	2255
317	1049	2250
318	1052	2246
319	1055	2241
320	1057	2237
321	1060	2233
322	1063	2228
323	1066	2224
324	1069	2221
325	1072	2217
326	1075	2214
327	1078	2210
328	1081	2206
329	1084	2202
330	1087	2198
331	1090	2194
332	1093	2190
333	1096	2187
334	1099	2182
335	1102	2178
336	1105	2174
337	1107	2170
338	1110	2165
339	1113	2161
340	1116	2158
341	1119	2154
342	1124	2153
343	1127	2150
344	1130	2147
345	1134	2144
346	1137	2140
347	1140	2137
348	1143	2133
349	1146	2129
350	1149	2125
351	1152	2121
352	1155	2117
353	1158	2113
354	1161	2109
355	1164	2106
356	1167	2102
357	1170	2098
358	1173	2094
359	1176	2091
360	1179	2086
361	1181	2082
362	1184	2078
363	1187	2074
364	1190	2070
365	1193	2067
366	1196	2063
367	1199	2059
368	1202	2056
369	1205	2052
370	1208	2048
371	1211	2044
372	1214	2041
373	1217	2037
374	1220	2034
375	1223	2030
376	1226	2026
377	1228	2022
378	1231	2018
379	1234	2014
380	1237	2010
381	1241	2007
382	1244	2004
383	1246	2000
384	1249	1996
385	1253	1993
386	1256	1990
387	1259	1986
388	1262	1983
389	1265	1979
390	1268	1975
391	1271	1972
392	1274	1969
393	1278	1965
394	1281	1962
395	1284	1958
396	1287	1954
397	1289	1951
398	1292	1947
399	1295	1943
400	1298	1939
401	1301	1936
402	1305	1933
403	1308	1930
404	1311	1927
405	1314	1923
406	1318	1921
407	1321	1918
408	1325	1915
409	1328	1911
410	1331	1908
411	1334	1904
412	1338	1902
413	1342	1899
414	1345	1896
415	1347	1892
416	1350	1888
417	1353	1884
418	1356	1880
419	1359	1877
420	1362	1874
421	1366	1871
422	1369	1868
423	1372	1865
424	1376	1862
